banksnames~revenues(fy2025)
statebankof india(sbi)~350,844crore
hdfcbank~170,750crore
icicibank~121,066crore
punjabnationalbank(pnb)~86,845crore
axisbank~107,959crore(approx'basedonmarketcap)
kotakmahindrabank~31,621crore(approx'basedonmarketcap)
bankofbaroda~64,172crore(approx'basedonmarket)
unionbankofindia~49,829crore(approx'basedonmarketcap)
canarabank~40,251crore(approx'basedonmarketcap)
idbibank~24,803crore
